DATE,VEHICLE NO,CENTER NAME,INV NO,PARTY NAME,ITEM,BOX,NET,ICE/WATER,PAY WEIGHT,RATE,AMOUNT
2025-11-09,MH46BF8046,KASARA,2665,DK KULAT,MIX FISH,187,10720,490,10230,15,153450
2025-11-09,MH46CL9768,KASARA,2666,MG SEA FOODS,MIX FISH,175,9800,370,9430,15,141450
2025-11-09,MH17BD0661,VASAI,2667,DATTA GHULE,PRAWN HEAD AND SHEL,126,2990,428,2562,2,5124
2025-11-09,MH43CL9310,TALOJA,2668,VARAD VINAYAK,PRAWN HEAD AND SHEL,0,3320,332,2988,2,5976
2025-12-09,MH04FU2482,TALOJA,2669,VARAD VINAYAK,PRAWN HEAD AND SHEL,0,8590,859,7731,2,15462
2025-12-09,MH43CL9310,TALOJA,2670,VARAD VINAYAK,PRAWN HEAD AND SHEL,56,1290,109,1181,2,2362
2025-12-09,MH43CA6444,KASARA,2671,NAGESHWAR FISHERIES,PRAWN HEAD AND SHEL,14,626,50,576,2,1152
2025-12-09,MH43CA6444,KASARA,2671,NAGESHWAR FISHERIES,MIX FISH,49,2252,174,2078,15,31170
2025-12-09,MH43CA6444,KASARA,2671,NAGESHWAR FISHERIES,NET MIX FISH,21,984,75,909,17,15453
2025-12-09,MH43CA6444,KASARA,2671,NAGESHWAR FISHERIES,MUNDI,3,138,11,127,8,1016
2025-12-09,MH46BU1946,KASARA,2672,MADAN SEA FOODS,PRAWN HEAD AND SHEL,0,1350,135,1215,2,2430
2025-12-09,MH47AS9028,KASARA,2673,SANTOSH SEA FOODS,MANDELI MIX,45,2430,277,2153,15,32295
2025-12-09,MH46CL9310,TALOJA,2674,VARAD VINAYAK,PRAWN HEAD AND SHEL,0,3090,309,2781,2,5562
2025-12-09,MH01CV8383,ALIBAG,2675,JANVI SEA FOODS,MANDELI MIX,50,2260,53,2207,12,26484
2025-01-10,MH43BP4644,KASARA,2767,DK KULAT,NET MIX FISH,47,2493,178,2315,23,53245
2025-01-10,MH43BP4644,KASARA,2767,DK KULAT,MIX FISH,71,3766,269,3497,21,73437
2025-01-10,MH43CA6444,KASARA,2768,NAGESHWAR FISHERIES,PRAWN HEAD AND SHEL,5,165,15,150,2,300
2025-01-10,MH43CA6444,KASARA,2768,NAGESHWAR FISHERIES,NET MIX FISH,32,1492,94,1398,23,32154
2025-01-10,MH43CA6444,KASARA,2768,NAGESHWAR FISHERIES,MANDELI MIX,4,213,11,202,21,4242
2025-01-10,MH17BD0661,VASAI,2769,VARAD VINAYAK,PRAWN HEAD AND SHEL,134,4080,168,3912,2,7824
2025-01-10,MH04FU2482,TALOJA,2770,VARAD VINAYAK,PRAWN HEAD AND SHEL,0,7710,771,6939,2,13878
2025-01-10,MH47AS9253,TALOJA,2771,RAMAKANT AKHADE,PRAWN HEAD AND SHEL,0,2180,218,1962,2,3924
2025-01-10,MH16B0576,TALOJA,2772,VARAD VINAYAK,PRAWN HEAD AND SHEL,0,1920,192,1728,2,3456
2025-02-10,MH16B0576,TALOJA,2773,VARAD VINAYAK,PRAWN HEAD AND SHEL,0,3835,383,3452,2,6904
2025-02-10,MH16B0576,TALOJA,2773,VARAD VINAYAK,MUNDI,5,245,25,220,9,1980
2025-02-10,MH46CL9310,TALOJA,2774,VARAD VINAYAK,PRAWN HEAD AND SHEL,0,3500,350,3150,2,6300
2025-02-10,MH43AS9253,TALOJA,2775,RAMAKANT AKHADE,PRAWN HEAD AND SHEL,0,8750,875,7875,2,15750
2025-02-10,MH46CL9310,TALOJA,2776,VARAD VINAYAK,BOMBIL MUNDI,39,1642,80,1562,3,4686
2025-02-10,MH46CL9310,TALOJA,2776,VARAD VINAYAK,PRAWN HEAD AND SHEL,31,1306,64,1242,2,2484
2025-02-10,MH46CL9310,TALOJA,2776,VARAD VINAYAK,CHILAPI,1,42,2,40,17,680
2025-03-10,MH04FU2482,TALOJA,2777,VARAD VINAYAK,PRAWN HEAD AND SHEL,0,4780,478,4302,2,8604
2025-03-10,MH43CA6444,TALOJA,2778,NAGESHWAR FISHERIES,NET HEKARU,45,2337,135,2202,23,50646
2025-03-10,MH43CA6444,TALOJA,2778,NAGESHWAR FISHERIES,NET DISCO,69,3583,207,3376,23,77648
2025-03-10,MH46CL9310,TALOJA,2779,VARAD VINAYAK,PRAWN HEAD AND SHEL,18,639,37,602,2,1204
2025-03-10,MH46CL9310,TALOJA,2779,VARAD VINAYAK,CHILAPI,27,1194,55,1139,15,17085
2025-03-10,MH46CL9310,TALOJA,2779,VARAD VINAYAK,BOMBIL MUNDI,19,857,38,819,3,2457
2025-06-10,MH43BP4644,KASARA,2780,DK KULAT,NET DISCO,20,1055,50,1005,23,23115
2025-06-10,MH43BP4644,KASARA,2780,DK KULAT,MIX FISH,31,1636,78,1558,21,32718
2025-06-10,MH43CM6444,KASARA,2781,NAGESHWAR FISHERIES,MIX FISH,5,245,16,229,21,4809
2025-06-10,MH43CM6444,KASARA,2781,NAGESHWAR FISHERIES,NET DISCO,30,1465,96,1369,23,31487
2025-06-10,MH46BB9585,ALIBAG,2782,JANVI SEA FOODS,MIX FISH,107,5874,525,5349,18,96282
2025-06-10,MH46BB9585,ALIBAG,2782,JANVI SEA FOODS,NET FISH,93,5106,457,4649,24,111576
2025-06-10,MH46CL9310,TALOJA,2783,VARAD VINAYAK,PRAWN HEAD AND SHEL,30,1074,72,1002,2,2004
2025-06-10,MH46CL9310,TALOJA,2783,VARAD VINAYAK,BANGDA,12,487,29,458,18,8244
2025-06-10,MH46CL9310,TALOJA,2783,VARAD VINAYAK,CHILAPI,11,399,27,372,16,5952
2025-06-10,MH04FU2482,TALOJA,2784,VARAD VINAYAK,PRAWN HEAD AND SHEL,143,1898,268,1630,2,3260
2025-06-10,MH04FU2482,TALOJA,2784,VARAD VINAYAK,CHILAPI MUNDI,17,882,32,850,8,6800
2025-07-10,MH46BB9585,ALIBAG,2785,JANVI SEA FOODS,MIX FISH,83,4581,330,4251,18,76518
2025-07-10,MH46BB9585,ALIBAG,2785,JANVI SEA FOODS,NET DISCO,85,4692,338,4354,25,108850
2025-07-10,MH46BB9585,ALIBAG,2785,JANVI SEA FOODS,NET BANGDI,32,1767,128,1639,25,40975
2025-07-10,MH43CA6444,KASARA,2786,NAGESHWAR FISHERIES,MANDELI MUNDI MIX,7,369,14,355,21,7455
2025-07-10,MH43CA6444,KASARA,2786,NAGESHWAR FISHERIES,MIX FISH,28,1471,54,1417,23,32591
2025-07-10,MH04FU2882,TALOJA,2787,VARAD VINAYAK,PRAWN HEAD AND SHEL,37,682,130,552,2,1104
2025-07-10,MH04FU2882,TALOJA,2787,VARAD VINAYAK,CHILAPI,23,1988,80,1908,16,30528
2025-07-10,MH46CL9310,TALOJA,2788,VARAD VINAYAK,PRAWN HEAD AND SHEL,0,3690,369,3321,2,6642
2025-08-10,MH43CA6444,KASARA,2789,NAGESHWAR FISHERIES,NET HEKARU,87,4340,261,4079,24,97896
2025-08-10,MH46BB9585,ALIBAG,2790,JANVI SEA FOODS,NET FISH,200,10460,726,9734,25,243350
2025-08-10,MH46CL9310,TALOJA,2791,VARAD VINAYAK,PRAWN HEAD AND SHEL,0,2110,211,1899,2,3798
2025-08-10,MH46BB9447,ALIBAG,2792,JANVI SEA FOODS,NET FISH,123,6329,165,6164,25,154100
2025-08-10,MH46BB9447,ALIBAG,2792,JANVI SEA FOODS,MIX FISH,77,3961,103,3858,18,69444
2025-08-10,MH48AY5649,VASAI,2793,JAI BALA JI,PRAWN HEAD AND SHEL,200,6330,1059,5271,2,10542
2025-09-10,MH43CK6444,KASARA,2794,NAGESHWAR FISHERIES,PRAWN HEAD AND SHEL,10,518,29,489,2,978
2025-09-10,MH43CK6444,KASARA,2794,NAGESHWAR FISHERIES,MIX FISH,14,772,41,731,24,17544
2025-09-10,MH46CL8442,ALIBAG,2795,JANVI SEA FOODS,MIX FISH,56,3090,184,2906,18,52308
2025-09-10,MH46BB9585,ALIBAG,2796,JANVI SEA FOODS,NET MIX FISH,40,2160,136,2024,26,52624
2025-09-10,MH46BB9585,ALIBAG,2796,JANVI SEA FOODS,MIX FISH,160,8640,544,8096,18,145728
2025-09-10,MH46CL9310,UTTAN,2797,VARAD VINAYAK,MANDELI MIX FISH,13,603,42,561,17,9537
2025-09-10,MH46CL9310,UTTAN,2797,VARAD VINAYAK,NET FISH,57,2647,182,2465,21,51765
2025-10-10,MH01CV1053,KASARA,2798,IMRAN SEA FOOD,NET FISH,103,5150,412,4738,25,118450
2025-10-10,MH43BP4464,COLABA,2799,DK KULAT,NET DISCO BANGD MIX,192,10160,683,9477,26,246402
2025-10-10,MH43CM6444,KASARA,2800,NAGESHWAR FISHERIES,NET MIX FISH,225,11050,450,10600,25,265000
2025-10-10,MH47AS8678,UTTAN,2801,HEMANT KOLI,MANDELI,26,1456,88,1368,18,24624
2025-10-10,MH47AS8678,UTTAN,2801,HEMANT KOLI,VAKTI,2,113,7,106,20,2120
2025-10-10,MH47AS8678,UTTAN,2801,HEMANT KOLI,DOMA,4,224,14,210,20,4200
2025-10-10,MH47AS8678,UTTAN,2801,HEMANT KOLI,MIX FISH,6,336,20,316,21,6636
2025-10-10,MH16B0576,TALOJA,2802,VARAD VINAYAK,PRAWN HEAD AND SHEL,41,1430,375,1055,2,2110
2025-10-10,MH46CL9310,TALOJA,2803,VARAD VINAYAK,MUNDI,14,359,39,320,8,2560
2025-10-10,MH46CL9310,TALOJA,2803,VARAD VINAYAK,BANGDA CHILAPI MIX,21,540,59,481,18,8658
2025-10-10,MH46AF8868,DHULAI,2804,IMRAN SEA FOOD,MIX FISH,212,11490,848,10642,26,276692
2025-10-10,MH46AF8868,DHULAI,2804,IMRAN SEA FOOD,MANDELI MIX FISH,28,1520,112,1408,23,32384
2025-10-10,MH48AG2108,VASAI,2805,JAY BALA JI,PRAWN HEAD AND SHEL,200,6350,1000,5350,2,10700
2025-10-10,MH43CA6444,KASARA,2807,NAGESHWAR FISHERIES,NET MIX FISH,171,8390,427,7963,25,199075
2025-11-10,MH43CM6444,KASARA,2808,NAGESHWAR FISHERIES,NET FISH,120,6020,292,5728,25,143200
2025-11-10,MH46CL8442,ALIBAG,2809,JANVI SEA FOODS,MIX FISH,56,3020,92,2928,25,73200
2025-11-10,MH48DC1805,UTTAN,2811,VARAD VINAYAK,MANDELI MIX,11,589,30,559,21,11739
2025-11-10,MH48DC1805,UTTAN,2811,VARAD VINAYAK,MIX FISH,65,3481,175,3306,23,76038
2025-11-10,MH16B0576,TALOJA,2812,VARAD VINAYAK,PRAWN HEAD AND SHEL,0,1480,148,1332,2,2664
2025-11-10,MH01DR4354,KASARA,2813,IMRAN SEA FOOD,NET MIX FISH,160,8030,640,7390,26,192140
2025-11-10,MH46BB9585,ALIBAG,2814,JANVI SEA FOODS,MANDELI TINY MIX,60,2517,285,2232,18,40176
2025-11-10,MH46BB9585,ALIBAG,2814,JANVI SEA FOODS,MIX FISH,45,2446,214,2232,26,58032
2025-11-10,MH46BB9585,ALIBAG,2814,JANVI SEA FOODS,NET MIX FISH,45,2694,214,2480,18,44640
2025-11-10,MH46BB9585,ALIBAG,2814,JANVI SEA FOODS,DAMAGE MIX FISH,50,3213,237,2976,18,53568
2025-12-10,MH01CV1431,DHULAI,2815,KETAN FISHERIES,NET MIX FISH,93,5329,117,5212,25,130300
2025-12-10,MH01CV1431,DHULAI,2815,KETAN FISHERIES,HEKARU,16,917,20,897,25,22425
2025-12-10,MH01CV1431,DHULAI,2815,KETAN FISHERIES,MANDELI MIX FISH,6,344,8,336,25,8400
2025-12-10,MH43BP4464,COLABA,2816,DK KULAT,NET DISCO,143,7508,393,7115,26,184990
2025-12-10,MH43BP4464,COLABA,2816,DK KULAT,MIX FISH,25,1312,69,1243,25,31075
2025-12-10,MH46CL9310,TALOJA,2817,VARAD VINAYAK,CHILAPI,55,2200,132,2068,18,37224
2025-12-10,MH16B0576,TALOJA,2818,VARAD VINAYAK,PRAWN HEAD AND SHEL,0,1700,170,1530,2,3060
2025-12-10,MH43BP1008,KASARA,2819,AYAZ SEA FOOD,HEKARU,103,5960,300,5660,25,141500
2024-10-13,DD01G9519,TALOJA,1694,SADGURU SEA FOODS,MIX FISH,189,9163,945,8218,18.5,152033
2024-10-13,DD01G9519,TALOJA,1694,SADGURU SEA FOODS,LEFTY,4,194,20,174,18.5,3219
2024-10-13,DD01G9519,TALOJA,1694,SADGURU SEA FOODS,RIBBAN,5,243,25,218,18.5,4033
2024-10-14,MH46B2928,MADH,1700,SADGURU SEA FOODS,DOMA TARLI,16,789,64,725,18.5,13412.5
2024-10-14,MH46B2928,MADH,1700,SADGURU SEA FOODS,MIX FISH,179,8825,716,8109,18.5,150016.5
2024-10-14,MH46B2928,MADH,1700,SADGURU SEA FOODS,RIBBAN,5,246,20,226,18.5,4181
2024-10-15,DD01G9519,ALIBAG,1708,SADGURU SEA FOODS,DOMA MIX FISH,92,4510,368,4142,18.5,76627
2024-10-15,DD01G9519,ALIBAG,1708,SADGURU SEA FOODS,MIF FISH,44,2157,176,1981,18.5,36648.5
2024-10-15,DD01G9519,ALIBAG,1708,SADGURU SEA FOODS,TAINY MIX,31,1519,124,1395,18,25110
2024-10-15,DD01G9519,ALIBAG,1708,SADGURU SEA FOODS,TARLI MIX,8,147,12,135,18,2430
2024-10-15,DD01G9519,ALIBAG,1708,SADGURU SEA FOODS,DOMA MIX FISH DAMAGE,6,297,24,273,15,4095
2024-10-17,DD01G9748,ALIBAG,1712,SADGURU SEA FOODS,CHILAPI,24,1057,120,937,16,14992
2024-10-17,DD01G9748,ALIBAG,1712,SADGURU SEA FOODS,MIX FISH,18,792,90,702,18,12636
2024-10-17,DD01G9748,ALIBAG,1712,SADGURU SEA FOODS,BOMBIL,2,88,10,78,15,1170
2024-10-17,DD01G9748,ALIBAG,1712,SADGURU SEA FOODS,DOMA MIX FISH,69,3038,345,2693,18.5,49820.5
2024-10-17,DD01G9748,ALIBAG,1712,SADGURU SEA FOODS,TAINY MIX,10,441,50,391,16,6256
2024-10-17,DD01G9748,ALIBAG,1712,SADGURU SEA FOODS,TARLI,1,44,5,39,21,819
2025-05-17,MH46BB2928,VASHI,2225,SADGURU SEA FOODS,CHILAPI,185,8788,1018,7770,17,132090
2025-05-17,MH46BB2928,VASHI,2225,SADGURU SEA FOODS,SMALL CHILAPI,15,713,82,631,17,10727
2025-05-30,MH42AR7313,BIGVAN,2255,SADGURU SEA FOODS,CHILAPI,36,1850,270,1580,17,26860
2025-05-31,MH42BP8377,BIGVAN,2260,SADGURU SEA FOODS,CHILAPI,94,3896,410,3486,17,59262
2025-05-31,MH42BP8377,BIGVAN,2260,SADGURU SEA FOODS,SMALL CHILAPI,16,663,70,593,17,10081
2025-06-02,MH46BM0698,BIGVAN,2274,SADGURU SEA FOODS,CHILAPI,3,164,30,134,14,1876
2025-06-02,MH46BM0698,BIGVAN,2274,SADGURU SEA FOODS,TENGADA,24,1296,240,1056,14,14784
2025-06-02,MH46BB2928,BIGVAN,2276,SADGURU SEA FOODS,SMALL MIX FISH,43,2092,215,1877,14,26278
2025-06-02,MH46BB2928,BIGVAN,2276,SADGURU SEA FOODS,CHILAPI,149,7249,745,6504,14,91056
2025-06-02,MH46BB2928,BIGVAN,2276,SADGURU SEA FOODS,PEDWA,8,389,40,349,14,4886
2025-06-06,MH46BM0698,BIGVAN,2290,SADGURU SEA FOODS,SMALL TENGADA,38,1640,216,1424,13,18512
2025-06-06,MH46BB2928,BIGVAN,2291,SADGURU SEA FOODS,CHILAPI,200,9430,1504,7926,13,103038
2025-06-08,MH42BF8446,BIGVAN,2296,SADGURU SEA FOODS,CHILAPI,85,3780,183,3597,12,43164
2025-06-27,MH46BM0698,BIGVAN,2344,SADGURU SEA FOODS,CHILAPI,4,198,19,179,12,2148
2025-06-27,MH46BM0698,BIGVAN,2344,SADGURU SEA FOODS,TENGADA,21,1042,98,944,12,11328
2025-07-09,DD01G9748,VASAI,2488,SADGURU SEA FOODS,TENGADA,7,261,23,238,12,2856
2025-07-09,DD01G9748,VASAI,2488,SADGURU SEA FOODS,CHILAPI,11,409,35,374,12,4488
2025-07-18,MH46BM1322,TALOJA,2552,SADGURU SEA FOODS,TENGADA,10,111,30,81,12,972
2025-07-18,MH46BM1322,TALOJA,2552,SADGURU SEA FOODS,CHILAPI,2,408,6,402,12,4824
2024-08-02,MH46BM0698,MADH,2820,HEMANT KOLI,NET DISCO,21,1504,276,1129,14.63,12057
2024-03-26,MH01CV1431,ALIBAG,2821,JANVI SEA FOODS,DAMAGE MIX FISH,LOOSE,3105,236,2392,16.66,63189
2025-10-23,MH46BB2928,BIGVAN,2822,SADGURU SEA FOODS,CHILAPI,194,11181,1242,8560,13.62,109599
2024-12-14,MH43BP1008,ALIBAG,2823,SADGURU SEA FOODS,DOMA MIX FISH,81,2952,316,2217,18.8,44894
2025-08-08,MH46BM1322,KASARA,2824,NAGESHWAR FISHERIES,PRAWN HEAD AND SHEL,27,1207,153,1102,2.18,1708
2025-03-27,MH46BB9585,KASARA,2825,KETAN FISHERIES,MIX FISH,71,3591,128,2462,14.64,50826
2024-05-09,MH46CL8442,TALOJA,2826,MG SEA FOODS,BANGDA CHILAPI MIX,5,278,23,226,9.83,2317
2024-09-19,MH42BP8377,BIGVAN,2827,SADGURU SEA FOODS,MANDELI TINY MIX,14,744,60,576,18.47,9797
2024-03-06,MH43CL9310,ALIBAG,2828,VARAD VINAYAK,MANDELI TINY MIX,52,1974,48,1458,1.83,3613
2024-03-09,MH42BP8377,BIGVAN,2829,JAI BALA JI,CHILAPI,80,3817,433,4057,15.93,61866
2025-02-14,MH43BP4464,KASARA,2830,NAGESHWAR FISHERIES,PRAWN HEAD AND SHEL,11,460,32,484,1.82,1149
2024-01-22,MH46CL8442,ALIBAG,2831,JANVI SEA FOODS,MIX FISH,45,2845,155,2326,18.95,45017
2025-01-07,MH46BB2928,VASHI,2832,SADGURU SEA FOODS,SMALL CHILAPI,LOOSE,848,81,671,18.08,9025
2024-08-17,MH48DC1805,COLABA,2833,AYAZ SEA FOOD,MIX FISH,21,1256,60,1206,22.55,28564
2024-02-19,MH43CM6444,KASARA,2834,JANVI SEA FOODS,NET MIX FISH,LOOSE,11681,446,8987,27.09,273609
2024-11-20,DD01G9748,COLABA,2835,SADGURU SEA FOODS,CHILAPI,23,1204,129,972,16.81,12577
2024-09-15,MH43CA6444,TALOJA,2836,NAGESHWAR FISHERIES,NET HEKARU,38,2273,129,2516,23.81,50759
2024-01-14,MH43CM6444,KASARA,2837,NAGESHWAR FISHERIES,PRAWN HEAD AND SHEL,LOOSE,5676,329,5321,1.84,11222
2024-11-07,MH01CV1053,VASAI,2838,DK KULAT,PRAWN HEAD AND SHEL,40,1518,403,1105,1.94,1735
2025-10-21,DD01G9748,TALOJA,2839,JAI BALA JI,BANGDA CHILAPI MIX,10,465,31,312,12.14,3755
2025-02-10,MH16B0576,TALOJA,2840,JAY BALA JI,SMALL MIX FISH,0,3306,345,3398,1.9,8075
2024-06-06,MH46BB9585,ALIBAG,2841,SADGURU SEA FOODS,TENGADA,72,4105,272,4451,19.19,85714
2024-09-14,MH43AS9253,MADH,2842,NAGESHWAR FISHERIES,DOMA TARLI,14,740,75,770,19.7,12891
2024-10-07,MH43CL9310,ALIBAG,2843,VARAD VINAYAK,MUNDI,59,3522,183,3864,24.29,90312
2024-04-12,MH46CL9310,BIGVAN,2844,VARAD VINAYAK,PRAWN HEAD AND SHEL,0,1693,219,1934,2.07,3631
2024-12-06,MH46BM0698,BIGVAN,2845,SADGURU SEA FOODS,TENGADA,25,1163,235,1043,13.35,16028
2025-11-16,MH42BP8377,BIGVAN,2846,SADGURU SEA FOODS,DOMA MIX FISH DAMAGE,106,4301,415,3567,16.54,55620
2025-08-12,MH46CL8442,ALIBAG,2847,JANVI SEA FOODS,MIX FISH,64,3253,196,3034,17.9,52986
2024-10-22,MH42BP8377,TALOJA,2848,VARAD VINAYAK,PRAWN HEAD AND SHEL,0,8811,1019,7898,2,17676
2025-01-09,MH43CM6444,VASAI,2849,NAGESHWAR FISHERIES,NET FISH,30,1616,77,1203,23.15,35903
2025-03-16,MH46BM1322,TALOJA,2850,RAMAKANT AKHADE,TENGADA,9,132,27,86,11.45,906
2025-06-08,MH48AY5649,COLABA,2851,VARAD VINAYAK,PRAWN HEAD AND SHEL,0,1817,174,1635,2.18,2498
2024-06-02,MH01EE9329,KASARA,2852,DK KULAT,NET MIX FISH,89,3797,273,4992,16.45,58655
2025-05-19,MH43CM6444,KASARA,2853,NAGESHWAR FISHERIES,MIX FISH,0,5471,270,5182,13.95,114234
2025-09-02,DD01G9519,ALIBAG,2854,SADGURU SEA FOODS,DOMA MIX FISH,82,4317,313,3503,17.68,82330
2024-11-23,MH01CV1431,DHULAI,2855,JANVI SEA FOODS,HEKARU,13,1025,18,895,22.99,24808
2025-02-21,MH46BM0698,ALIBAG,2856,SADGURU SEA FOODS,CHILAPI,3,180,17,176,12.23,2288
2024-07-28,MH43CM6444,KASARA,2857,NAGESHWAR FISHERIES,NET HEKARU,0,6512,250,6542,16.25,88113
2024-12-24,MH01DR4354,ALIBAG,2858,VARAD VINAYAK,MIX FISH,65,3221,88,4400,16.65,56551
2025-05-20,MH04FU2482,TALOJA,2859,VARAD VINAYAK,PRAWN HEAD AND SHEL,158,2174,229,1736,2.13,3624
2025-11-15,MH46BB9585,ALIBAG,2860,JANVI SEA FOODS,NET DISCO,LOOSE,3837,278,3916,25.75,89252
2024-02-23,MH46BM1322,ALIBAG,2861,NAGESHWAR FISHERIES,BANGDA CHILAPI MIX,53,2718,188,2701,14.58,48132
2024-08-18,MH43AS9253,ALIBAG,2862,JAY BALA JI,BANGDA,167,7534,694,5670,14.82,100693
2025-09-25,MH43CL9310,TALOJA,2863,VARAD VINAYAK,PRAWN HEAD AND SHEL,0,2885,351,3075,1.87,5389
2024-02-17,MH01EE9329,KASARA,2864,DK KULAT,LEFTY,48,2227,209,2737,23.94,49542
2024-12-18,MH46CL9310,TALOJA,2865,VARAD VINAYAK,PRAWN HEAD AND SHEL,0,3572,327,3333,1.92,5885
2025-07-18,MH46CL9768,DHULAI,2866,SADGURU SEA FOODS,CHILAPI,134,7206,638,5493,14.65,108151
2025-08-02,MH17BD0661,ALIBAG,2867,VARAD VINAYAK,PRAWN HEAD AND SHEL,149,3617,201,4310,2.08,7313
2025-08-25,MH46BB9585,ALIBAG,2868,JANVI SEA FOODS,NET MIX FISH,47,3022,222,2857,19.07,44657
2025-06-05,MH46CL8442,ALIBAG,2869,JAI BALA JI,MIX FISH,LOOSE,2616,210,2362,19.26,42339
2025-12-14,MH46BM1322,TALOJA,2870,SADGURU SEA FOODS,CHILAPI,LOOSE,393,5,431,12.49,4948
2025-03-25,MH43CA6444,VASHI,2871,NAGESHWAR FISHERIES,MANDELI MUNDI MIX,8,403,16,412,22.4,8581
2024-10-08,MH43CL9310,TALOJA,2872,MADAN SEA FOODS,PRAWN HEAD AND SHEL,41,1964,63,1505,2.17,4128
2024-01-24,MH46B2928,MADH,2873,SADGURU SEA FOODS,MIX FISH,200,8582,784,8470,16.89,142602
2025-04-04,MH43CM6444,KASARA,2874,NAGESHWAR FISHERIES,MIX FISH,0,5903,255,6686,14.7,87608
2025-11-23,MH46BF8046,KASARA,2875,NAGESHWAR FISHERIES,PRAWN HEAD AND SHEL,102,6060,379,6354,1.84,12592
2025-10-15,MH46BU1946,KASARA,2876,MG SEA FOODS,PRAWN HEAD AND SHEL,0,1316,110,982,2.03,2542
2024-12-26,MH43CL9310,ALIBAG,2877,JAI BALA JI,MIX FISH,98,6781,626,4405,18.4,103976
2025-12-19,MH46CL9310,UTTAN,2878,VARAD VINAYAK,MANDELI MIX FISH,11,486,37,451,18.48,10460
2024-06-04,MH46BU1946,KASARA,2879,MG SEA FOODS,CHILAPI,2,469,5,325,11.66,5715
2024-08-18,MH01CV1053,KASARA,2880,IMRAN SEA FOOD,DOMA,LOOSE,4899,376,3998,25.19,95951
2025-03-25,MH46B2928,MADH,2881,SADGURU SEA FOODS,RIBBAN,4,218,19,258,16.77,4068
2024-05-15,MH43BP4464,COLABA,2882,AYAZ SEA FOOD,MIX FISH,27,1450,72,1454,22.52,31425
2025-03-17,DD01G9519,ALIBAG,2883,SADGURU SEA FOODS,TAINY MIX,29,1270,110,1285,18.18,28745
2024-11-12,MH46BM0698,BIGVAN,2884,SADGURU SEA FOODS,CHILAPI,3,202,17,198,12.55,1998
2025-04-08,MH46CL9310,TALOJA,2885,VARAD VINAYAK,BANGDA,14,561,25,380,16.83,9361
2025-11-12,MH04FU2482,TALOJA,2886,VARAD VINAYAK,PRAWN HEAD AND SHEL,157,1803,298,1557,1.94,3841
2025-09-14,MH43AS9253,COLABA,2887,HEMANT KOLI,MUNDI,2,139,10,142,8.35,980
2024-10-02,MH43AS9253,KASARA,2888,NAGESHWAR FISHERIES,MUNDI,2,152,12,146,8.52,963
